Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
08-01-2025,Lok Ma Chau,Arrival,14564,,,
08-01-2025,Lok Ma Chau,Departure,14638,,,
08-02-2025,Lok Ma Chau,Arrival,19283,,,
08-02-2025,Lok Ma Chau,Departure,24705,,,
09-01-2025,Lok Ma Chau,Arrival,14650,,,
09-01-2025,Lok Ma Chau,Departure,15328,,,
09-02-2025,Lok Ma Chau,Arrival,26305,,,
09-02-2025,Lok Ma Chau,Departure,22136,,,
10-01-2025,Lok Ma Chau,Arrival,16453,,,
10-01-2025,Lok Ma Chau,Departure,17696,,,
10-02-2025,Lok Ma Chau,Arrival,15696,,,
10-02-2025,Lok Ma Chau,Departure,18202,,,
11-01-2025,Lok Ma Chau,Arrival,22519,,,
11-01-2025,Lok Ma Chau,Departure,24275,,,
11-02-2025,Lok Ma Chau,Arrival,12857,,,
11-02-2025,Lok Ma Chau,Departure,14680,,,
12-01-2025,Lok Ma Chau,Arrival,30787,,,
12-01-2025,Lok Ma Chau,Departure,18664,,,
12-02-2025,Lok Ma Chau,Arrival,11904,,,
12-02-2025,Lok Ma Chau,Departure,13056,,,
13-01-2025,Lok Ma Chau,Arrival,17987,,,
13-01-2025,Lok Ma Chau,Departure,14581,,,
13-02-2025,Lok Ma Chau,Arrival,13292,,,
13-02-2025,Lok Ma Chau,Departure,13139,,,
14-01-2025,Lok Ma Chau,Arrival,14929,,,
14-01-2025,Lok Ma Chau,Departure,14320,,,
14-02-2025,Lok Ma Chau,Arrival,15991,,,
14-02-2025,Lok Ma Chau,Departure,17713,,,
15-01-2025,Lok Ma Chau,Arrival,15548,,,
15-01-2025,Lok Ma Chau,Departure,14239,,,
15-02-2025,Lok Ma Chau,Arrival,24258,,,
15-02-2025,Lok Ma Chau,Departure,23449,,,
16-01-2025,Lok Ma Chau,Arrival,17745,,,
16-01-2025,Lok Ma Chau,Departure,15451,,,
16-02-2025,Lok Ma Chau,Arrival,31288,,,
16-02-2025,Lok Ma Chau,Departure,18320,,,
17-01-2025,Lok Ma Chau,Arrival,18083,,,
17-01-2025,Lok Ma Chau,Departure,18242,,,
17-02-2025,Lok Ma Chau,Arrival,17014,,,
17-02-2025,Lok Ma Chau,Departure,13743,,,
18-01-2025,Lok Ma Chau,Arrival,25947,,,
18-01-2025,Lok Ma Chau,Departure,25356,,,
18-02-2025,Lok Ma Chau,Arrival,13700,,,
18-02-2025,Lok Ma Chau,Departure,13270,,,
19-01-2025,Lok Ma Chau,Arrival,33631,,,
19-01-2025,Lok Ma Chau,Departure,20391,,,
19-02-2025,Lok Ma Chau,Arrival,13736,,,
19-02-2025,Lok Ma Chau,Departure,13281,,,
20-01-2025,Lok Ma Chau,Arrival,20080,,,
20-01-2025,Lok Ma Chau,Departure,15824,,,
20-02-2025,Lok Ma Chau,Arrival,14138,,,
20-02-2025,Lok Ma Chau,Departure,13462,,,
21-01-2025,Lok Ma Chau,Arrival,17577,,,
21-01-2025,Lok Ma Chau,Departure,14992,,,
21-02-2025,Lok Ma Chau,Arrival,15573,,,
21-02-2025,Lok Ma Chau,Departure,17425,,,
22-01-2025,Lok Ma Chau,Arrival,17018,,,
22-01-2025,Lok Ma Chau,Departure,16523,,,
22-02-2025,Lok Ma Chau,Arrival,21928,,,
22-02-2025,Lok Ma Chau,Departure,23811,,,
23-01-2025,Lok Ma Chau,Arrival,16614,,,
23-01-2025,Lok Ma Chau,Departure,17318,,,
23-02-2025,Lok Ma Chau,Arrival,31847,,,
23-02-2025,Lok Ma Chau,Departure,20452,,,
24-01-2025,Lok Ma Chau,Arrival,17052,,,
24-01-2025,Lok Ma Chau,Departure,21156,,,
24-02-2025,Lok Ma Chau,Arrival,17368,,,
24-02-2025,Lok Ma Chau,Departure,14324,,,
25-01-2025,Lok Ma Chau,Arrival,20356,,,
25-01-2025,Lok Ma Chau,Departure,27406,,,
25-02-2025,Lok Ma Chau,Arrival,13227,,,
25-02-2025,Lok Ma Chau,Departure,12811,,,
26-01-2025,Lok Ma Chau,Arrival,22530,,,
26-01-2025,Lok Ma Chau,Departure,24261,,,
26-02-2025,Lok Ma Chau,Arrival,13621,,,
26-02-2025,Lok Ma Chau,Departure,12735,,,
27-01-2025,Lok Ma Chau,Arrival,14884,,,
27-01-2025,Lok Ma Chau,Departure,18097,,,
27-02-2025,Lok Ma Chau,Arrival,13655,,,
27-02-2025,Lok Ma Chau,Departure,12992,,,
28-01-2025,Lok Ma Chau,Arrival,10134,,,
28-01-2025,Lok Ma Chau,Departure,14476,,,
29-01-2025,Lok Ma Chau,Arrival,10477,,,
29-01-2025,Lok Ma Chau,Departure,14863,,,
30-01-2025,Lok Ma Chau,Arrival,17461,,,
30-01-2025,Lok Ma Chau,Departure,17935,,,
31-01-2025,Lok Ma Chau,Arrival,23849,,,
31-01-2025,Lok Ma Chau,Departure,21534,,,
